timestep,episode,reward,decision,elapsed_time
1,1,0.9433333333333334,discard,0.000851
2,2,0.6633333333333333,log_and_continue,0.001162
3,3,0.76,request_rescan,0.00145
4,4,0.76,log_and_continue,0.001726
5,5,0.9433333333333334,request_rescan,0.00218
6,6,0.76,discard,0.002357
7,7,0.9433333333333334,discard,0.002506
8,8,0.76,discard,0.002646
9,9,0.9433333333333334,request_rescan,0.0029
10,10,0.76,discard,0.003039
11,11,0.76,discard,0.003184
12,12,0.6633333333333333,log_and_continue,0.003324
13,13,0.76,request_rescan,0.003544
14,14,0.6633333333333333,log_and_continue,0.003694
15,15,0.76,discard,0.003833
16,16,0.76,log_and_continue,0.003985
17,17,0.9433333333333334,request_rescan,0.004203
18,18,0.6633333333333333,log_and_continue,0.004348
19,19,0.6633333333333333,log_and_continue,0.00449
20,20,0.6633333333333333,log_and_continue,0.004625
21,21,0.76,request_rescan,0.004843
22,22,0.76,discard,0.005
23,23,0.76,log_and_continue,0.005137
24,24,0.9433333333333334,request_rescan,0.005266
25,25,0.6633333333333333,log_and_continue,0.005496
26,26,0.76,request_rescan,0.005638
27,27,0.76,log_and_continue,0.005775
28,28,0.9433333333333334,discard,0.005917
29,29,0.76,log_and_continue,0.006147
30,30,0.9433333333333334,request_rescan,0.006286
31,31,0.9433333333333334,request_rescan,0.006421
32,32,0.9433333333333334,discard,0.006548
33,33,0.76,discard,0.006768
34,34,0.76,log_and_continue,0.006918
35,35,0.6633333333333333,log_and_continue,0.007053
36,36,0.6633333333333333,log_and_continue,0.007181
37,37,0.76,discard,0.007387
38,38,0.76,request_rescan,0.007517
39,39,0.9433333333333334,discard,0.007658
40,40,0.9433333333333334,request_rescan,0.007794
41,41,0.76,discard,0.008041
42,42,0.6633333333333333,log_and_continue,0.008186
43,43,0.6633333333333333,log_and_continue,0.00832
44,44,0.6633333333333333,log_and_continue,0.008455
45,45,0.9433333333333334,discard,0.008684
46,46,0.6633333333333333,log_and_continue,0.008887
47,47,0.76,log_and_continue,0.009035
48,48,0.76,request_rescan,0.009173
49,49,0.6633333333333333,log_and_continue,0.009392
50,50,0.76,request_rescan,0.009535
51,51,0.9433333333333334,discard,0.009675
52,52,0.9433333333333334,discard,0.009806
53,53,0.9433333333333334,discard,0.010037
54,54,0.76,log_and_continue,0.010187
55,55,0.76,request_rescan,0.010333
56,56,0.9433333333333334,discard,0.010465
57,57,0.6633333333333333,log_and_continue,0.010683
