timestep,episode,reward,decision,elapsed_time
1,1,0.76,log_and_continue,0.000596
2,2,0.76,discard,0.000757
3,3,0.9433333333333334,request_rescan,0.000901
4,4,0.9433333333333334,discard,0.001039
5,5,0.6633333333333333,log_and_continue,0.001304
6,6,0.9433333333333334,request_rescan,0.001445
7,7,0.76,log_and_continue,0.001583
8,8,0.76,request_rescan,0.001712
9,9,0.76,discard,0.001933
10,10,0.9433333333333334,request_rescan,0.002075
11,11,0.6633333333333333,log_and_continue,0.002217
12,12,0.76,discard,0.002346
13,13,0.76,log_and_continue,0.002595
14,14,0.76,discard,0.002741
15,15,0.9433333333333334,discard,0.002878
16,16,0.9433333333333334,request_rescan,0.003011
17,17,0.9433333333333334,request_rescan,0.003255
18,18,0.76,log_and_continue,0.003396
19,19,0.6633333333333333,log_and_continue,0.003529
20,20,0.76,discard,0.003658
21,21,0.6633333333333333,log_and_continue,0.003892
22,22,0.9433333333333334,discard,0.004033
23,23,0.9433333333333334,request_rescan,0.004171
24,24,0.76,log_and_continue,0.004299
25,25,0.6633333333333333,log_and_continue,0.004532
26,26,0.76,request_rescan,0.004675
27,27,0.9433333333333334,discard,0.004812
28,28,0.76,discard,0.004943
29,29,0.6633333333333333,log_and_continue,0.005175
30,30,0.76,request_rescan,0.005318
31,31,0.9433333333333334,discard,0.005453
32,32,0.76,discard,0.005587
33,33,0.76,request_rescan,0.005817
34,34,0.76,log_and_continue,0.00596
35,35,0.9433333333333334,request_rescan,0.0061
36,36,0.76,discard,0.006232
37,37,0.9433333333333334,request_rescan,0.006447
38,38,0.76,log_and_continue,0.006588
39,39,0.76,discard,0.006724
40,40,0.9433333333333334,discard,0.006853
41,41,0.76,log_and_continue,0.007086
42,42,0.6633333333333333,log_and_continue,0.007234
43,43,0.76,discard,0.007368
44,44,0.9433333333333334,discard,0.007497
45,45,0.9433333333333334,discard,0.007718
46,46,0.6633333333333333,log_and_continue,0.007862
47,47,0.76,request_rescan,0.007997
48,48,0.76,discard,0.008132
49,49,0.76,discard,0.008343
50,50,0.76,log_and_continue,0.008472
51,51,0.9433333333333334,discard,0.008609
52,52,0.9433333333333334,discard,0.00874
53,53,0.9433333333333334,request_rescan,0.008948
54,54,0.9433333333333334,discard,0.009086
55,55,0.9433333333333334,discard,0.009219
56,56,0.9433333333333334,request_rescan,0.009346
57,57,0.76,request_rescan,0.009572
58,58,0.9433333333333334,discard,0.00971
59,59,0.76,request_rescan,0.009845
60,60,0.76,log_and_continue,0.009974
61,61,0.9433333333333334,discard,0.010203
62,62,0.76,request_rescan,0.01034
63,63,0.6633333333333333,log_and_continue,0.010472
64,64,0.76,request_rescan,0.010598
65,65,0.9433333333333334,discard,0.010823
66,66,0.9433333333333334,discard,0.010957
67,67,0.6633333333333333,log_and_continue,0.011084
68,68,0.6633333333333333,log_and_continue,0.011269
69,69,0.9433333333333334,discard,0.011511
70,70,0.76,log_and_continue,0.011652
71,71,0.9433333333333334,request_rescan,0.011784
72,72,0.9433333333333334,request_rescan,0.011911
73,73,0.76,log_and_continue,0.012147
74,74,0.76,discard,0.012292
75,75,0.6633333333333333,log_and_continue,0.012425
76,76,0.76,log_and_continue,0.012551
77,77,0.76,request_rescan,0.012754
78,78,0.76,request_rescan,0.012886
79,79,0.9433333333333334,discard,0.013021
80,80,0.6633333333333333,log_and_continue,0.013154
81,81,0.9433333333333334,request_rescan,0.013364
82,82,0.76,log_and_continue,0.013493
83,83,0.9433333333333334,discard,0.013615
84,84,0.76,log_and_continue,0.013746
85,85,0.9433333333333334,request_rescan,0.01396
86,86,0.76,request_rescan,0.014086
87,87,0.76,log_and_continue,0.014215
88,88,0.6633333333333333,log_and_continue,0.01434
89,89,0.9433333333333334,discard,0.01455
90,90,0.9433333333333334,request_rescan,0.014674
91,91,0.9433333333333334,discard,0.014794
92,92,0.76,log_and_continue,0.014913
93,93,0.76,discard,0.015141
94,94,0.76,request_rescan,0.015285
95,95,0.9433333333333334,discard,0.015418
96,96,0.6633333333333333,log_and_continue,0.015547
97,97,0.9433333333333334,request_rescan,0.015769
98,98,0.76,request_rescan,0.015912
99,99,0.76,request_rescan,0.016041
100,100,0.76,log_and_continue,0.016168
101,101,0.76,request_rescan,0.016418
102,102,0.76,request_rescan,0.016561
103,103,0.6633333333333333,log_and_continue,0.01669
104,104,0.76,request_rescan,0.016815
105,105,0.76,log_and_continue,0.017043
106,106,0.76,request_rescan,0.017187
107,107,0.76,log_and_continue,0.017316
108,108,0.76,request_rescan,0.017442
109,109,0.76,log_and_continue,0.017674
110,110,0.6633333333333333,log_and_continue,0.017812
111,111,0.9433333333333334,request_rescan,0.017945
