timestep,episode,reward,decision,elapsed_time
1,1,0.9433333333333334,discard,0.003117
2,2,0.9433333333333334,discard,0.003976
3,3,0.76,discard,0.004687
4,4,0.9433333333333334,discard,0.005878
5,5,0.9433333333333334,request_rescan,0.007088
6,6,0.76,log_and_continue,0.008275
7,7,0.9433333333333334,request_rescan,0.009432
8,8,0.9433333333333334,discard,0.010594
9,9,0.76,request_rescan,0.011713
10,10,0.6633333333333333,log_and_continue,0.012851
11,11,0.9433333333333334,discard,0.013599
12,12,0.9433333333333334,request_rescan,0.01419
13,13,0.6633333333333333,log_and_continue,0.014737
14,14,0.76,log_and_continue,0.015285
15,15,0.76,discard,0.01583
16,16,0.76,request_rescan,0.016376
17,17,0.76,discard,0.016929
18,18,0.9433333333333334,request_rescan,0.017469
19,19,0.9433333333333334,request_rescan,0.018011
20,20,0.76,log_and_continue,0.018563
21,21,0.76,log_and_continue,0.019098
22,22,0.76,request_rescan,0.019881
23,23,0.9433333333333334,discard,0.020838
24,24,0.76,log_and_continue,0.021443
25,25,0.76,log_and_continue,0.021965
26,26,0.9433333333333334,discard,0.022483
27,27,0.9433333333333334,request_rescan,0.023052
28,28,0.76,discard,0.023565
29,29,0.6633333333333333,log_and_continue,0.024102
30,30,0.9433333333333334,request_rescan,0.024619
31,31,0.9433333333333334,discard,0.025159
32,32,0.6633333333333333,log_and_continue,0.02568
33,33,0.6633333333333333,log_and_continue,0.026226
34,34,0.76,discard,0.026759
35,35,0.9433333333333334,discard,0.027282
36,36,0.76,log_and_continue,0.027803
37,37,0.9433333333333334,request_rescan,0.028365
38,38,0.76,request_rescan,0.028923
39,39,0.76,discard,0.029774
40,40,0.9433333333333334,request_rescan,0.030312
41,41,0.6633333333333333,log_and_continue,0.030863
42,42,0.6633333333333333,log_and_continue,0.031447
43,43,0.76,log_and_continue,0.032041
44,44,0.76,request_rescan,0.03258
45,45,0.9433333333333334,discard,0.033167
46,46,0.76,log_and_continue,0.033704
47,47,0.9433333333333334,request_rescan,0.034275
48,48,0.6633333333333333,log_and_continue,0.034814
49,49,0.9433333333333334,discard,0.035372
50,50,0.76,log_and_continue,0.036272
51,51,0.9433333333333334,discard,0.037048
52,52,0.9433333333333334,discard,0.037603
53,53,0.76,log_and_continue,0.038167
54,54,0.76,request_rescan,0.038724
55,55,0.76,discard,0.039273
56,56,0.9433333333333334,discard,0.039832
57,57,0.9433333333333334,discard,0.04039
58,58,0.9433333333333334,discard,0.040947
59,59,0.9433333333333334,discard,0.041512
60,60,0.76,log_and_continue,0.042052
61,61,0.76,request_rescan,0.042579
62,62,0.6633333333333333,log_and_continue,0.043133
63,63,0.9433333333333334,discard,0.043668
64,64,0.9433333333333334,request_rescan,0.044222
65,65,0.6633333333333333,log_and_continue,0.044781
66,66,0.9433333333333334,discard,0.04535
67,67,0.76,discard,0.045886
68,68,0.9433333333333334,discard,0.046432
69,69,0.9433333333333334,discard,0.046966
70,70,0.76,log_and_continue,0.047516
71,71,0.76,request_rescan,0.048054
72,72,0.76,log_and_continue,0.048613
73,73,0.76,request_rescan,0.049189
74,74,0.76,log_and_continue,0.049734
75,75,0.6633333333333333,log_and_continue,0.05028
76,76,0.9433333333333334,discard,0.050832
