timestep,episode,reward,epsilon,decision,elapsed_time
1,1,0.9433333333333334,0.995,discard,0.000285
2,2,0.6633333333333333,0.990025,log_and_continue,0.000437
3,3,0.76,0.985074875,log_and_continue,0.000583
4,4,0.76,0.9801495006250001,discard,0.000701
5,5,0.76,0.9752487531218751,log_and_continue,0.000815
6,6,0.6633333333333333,0.9703725093562657,log_and_continue,0.000921
7,7,0.76,0.9655206468094844,discard,0.001039
8,8,0.9433333333333334,0.960693043575437,discard,0.001149
9,9,0.9433333333333334,0.9558895783575597,discard,0.001271
10,10,0.76,0.9511101304657719,log_and_continue,0.001391
11,11,0.76,0.946354579813443,request_rescan,0.001502
12,12,0.9433333333333334,0.9416228069143757,discard,0.001606
13,13,0.76,0.9369146928798039,log_and_continue,0.001708
14,14,0.9433333333333334,0.9322301194154049,discard,0.001806
15,15,0.9433333333333334,0.9275689688183278,request_rescan,0.001915
16,16,0.9433333333333334,0.9229311239742362,discard,0.002021
17,17,0.9433333333333334,0.918316468354365,discard,0.00212
18,18,0.76,0.9137248860125932,discard,0.002218
19,19,0.76,0.9091562615825302,log_and_continue,0.00234
20,20,0.9433333333333334,0.9046104802746175,discard,0.002448
21,21,0.76,0.9000874278732445,discard,0.00255
22,22,0.9433333333333334,0.8955869907338783,request_rescan,0.00265
23,23,0.76,0.8911090557802088,discard,0.002749
24,24,0.6633333333333333,0.8866535105013078,log_and_continue,0.00285
25,25,0.9433333333333334,0.8822202429488013,request_rescan,0.002953
26,26,0.76,0.8778091417340573,log_and_continue,0.003061
27,27,0.9433333333333334,0.8734200960253871,request_rescan,0.003165
28,28,0.9433333333333334,0.8690529955452602,request_rescan,0.003271
29,29,0.9433333333333334,0.8647077305675338,request_rescan,0.003374
30,30,0.9433333333333334,0.8603841919146962,discard,0.003474
31,31,0.9433333333333334,0.8560822709551227,discard,0.003573
32,32,0.9433333333333334,0.851801859600347,request_rescan,0.003678
33,33,0.9433333333333334,0.8475428503023453,discard,0.003779
34,34,0.9433333333333334,0.8433051360508336,request_rescan,0.003877
35,35,0.6633333333333333,0.8390886103705794,log_and_continue,0.00398
36,36,0.9433333333333334,0.8348931673187264,discard,0.004078
37,37,0.9433333333333334,0.8307187014821328,discard,0.004181
38,38,0.76,0.8265651079747222,log_and_continue,0.004294
39,39,0.76,0.8224322824348486,discard,0.004396
40,40,0.9433333333333334,0.8183201210226743,request_rescan,0.004496
41,41,0.9433333333333334,0.8142285204175609,discard,0.004596
42,42,0.76,0.810157377815473,request_rescan,0.004697
43,43,0.9433333333333334,0.8061065909263957,discard,0.004793
44,44,0.76,0.8020760579717637,log_and_continue,0.004887
45,45,0.6633333333333333,0.798065677681905,log_and_continue,0.004981
46,46,0.76,0.7940753492934954,request_rescan,0.005081
47,47,0.76,0.7901049725470279,request_rescan,0.005183
